Date,Week,Time,Team A,Team B,Status,Result
"

                مباريات يوم
                الجمعة
                03 مايو 2024

","الأسبوع الحادي والعشرون
",19:00,"

زد
","

المقاولون العرب
","
انتهت
",0---1
"

                مباريات يوم
                الجمعة
                03 مايو 2024

","الأسبوع الحادي والعشرون
",19:00,"

الاتحاد السكندري
","

بلدية المحلة
","
انتهت
",2---1
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الحادي والعشرون
",16:00,"

فاركو
","

الإسماعيلي
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الحادي والعشرون
",19:00,"

الداخلية
","

سيراميكا كليوباترا
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الحادي والعشرون
",19:00,"

الأهلي
","

الجونة
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع السادس
",17:00,"

النجم الساحلى 
","

الإتحاد المنستيري
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع التاسع
",17:00,"

سليمان الرياضي
","

إتحاد بن قردان
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع التاسع
",17:00,"

البنزرتي
","

الأولمبي الباجي
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع التاسع
",17:00,"

اتحاد تطاوين
","

النجم الرياضي بالمتلوي
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الحادي والعشرون
",19:00,"

سموحة
","

الزمالك
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الحادي والعشرون
",19:00,"

البنك الاهلي
","

إنبي
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الثاني والعشرون
",17:05,"

حتا
","

عجمان
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الثاني والعشرون
",19:45,"

الجــزيرة
","

بني ياس
","
لم تبدأ
",-----
"

                مباريات يوم
                الإثنين
                06 مايو 2024

","الأسبوع الحادي والعشرون
",19:00,"

بيراميدز
","

مودرن فيوتشر
","
لم تبدأ
",-----
"

                مباريات يوم
                الإثنين
                06 مايو 2024

","الأسبوع الحادي والعشرون
",19:00,"

طلائع الجيش
","

المصري
","
لم تبدأ
",-----
"

                مباريات يوم
                الثلاثاء
                07 مايو 2024

","الأسبوع التاسع
",19:00,"

الأهلي
","

الاتحاد السكندري
","
لم تبدأ
",-----
"

                مباريات يوم
                الأربعاء
                08 مايو 2024

",عودة نصف النهائي,22:00,"

ريال مدريد
","

بايرن ميونيخ
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

","الأسبوع الثاني والعشرون
",16:00,"

الإسماعيلي
","

الداخلية
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

","الأسبوع الثاني والعشرون
",19:00,"

الزمالك
","

إنبي
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

","الأسبوع الثاني والعشرون
",19:00,"

سموحة
","

زد
","
لم تبدأ
",-----
"

                مباريات يوم
                الجمعة
                10 مايو 2024

","الأسبوع الثاني والعشرون
",16:00,"

سيراميكا كليوباترا
","

طلائع الجيش
","
لم تبدأ
",-----
"

                مباريات يوم
                الجمعة
                10 مايو 2024

","الأسبوع الثاني والعشرون
",19:00,"

مودرن فيوتشر
","

البنك الاهلي
","
لم تبدأ
",-----
"

                مباريات يوم
                الجمعة
                10 مايو 2024

","الأسبوع الثاني والعشرون
",19:00,"

الجونة
","

فاركو
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الثاني والعشرون
",16:00,"

المقاولون العرب
","

الاتحاد السكندري
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الثاني والعشرون
",19:00,"

المصري
","

بيراميدز
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الثاني والعشرون
",19:00,"

بلدية المحلة
","

الأهلي
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

",ذهاب النهائي,22:00,"

الزمالك
","

نهضة بركان
","
لم تبدأ
",-----
