Date,Week,Time,Team A,Team B,Status,Result
"

                مباريات يوم
                الجمعة
                03 مايو 2024

","الأسبوع الثاني والثلاثون
",20:00,"

تولوز
","

مونبيليه
","
انتهت
",1---2
"

                مباريات يوم
                الجمعة
                03 مايو 2024

","الأسبوع الثاني والثلاثون
",22:00,"

لانس
","

لوريان
","
انتهت
",2---0
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثاني والثلاثون
",16:30,"

فيردر بريمن
","

مونشنجلادباخ
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثاني والثلاثون
",16:30,"

شتوتجارت
","

بايرن ميونيخ
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثاني والثلاثون
",16:30,"

بروسيا دورتموند 
","

أوجسبورج
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثاني والثلاثون
",16:30,"

فولفسبورج
","

دارمشتات
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثاني والثلاثون
",19:30,"

كولن
","

فرايبورج
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الخامس والثلاثون
",16:00,"

إسطنبول باشاكشهير
","

قاسم باشا
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الخامس والثلاثون
",19:00,"

جالاتا سراي
","

سيفاسبور
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الخامس والثلاثون
",19:00,"

غازي عنتاب بي.بي.كي
","

هاتاي سبور
","
لم تبدأ
",-----
"

                مباريات يوم
                الإثنين
                06 مايو 2024

","الأسبوع الثاني والعشرون
",17:05,"

خورفكان
","

العين
","
لم تبدأ
",-----
"

                مباريات يوم
                الإثنين
                06 مايو 2024

","الأسبوع الثاني والعشرون
",17:05,"

اتحاد كلباء
","

نادي الامارات
","
لم تبدأ
",-----
"

                مباريات يوم
                الإثنين
                06 مايو 2024

","الأسبوع الثاني والعشرون
",19:45,"

البطائح
","

الوصل
","
لم تبدأ
",-----
"

                مباريات يوم
                الإثنين
                06 مايو 2024

","الأسبوع الثاني والعشرون
",19:45,"

شباب الأهلي
","

الشــارقة
","
لم تبدأ
",-----
"

                مباريات يوم
                الجمعة
                10 مايو 2024

","الأسبوع الثالث والثلاثون
",22:15,"

شافيش
","

فاماليكاو
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الثالث والثلاثون
",17:30,"

فيزيلا 
","

إستريلا 
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الثالث والثلاثون
",17:30,"

بورتيمونينسي
","

ريو آفي
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الثالث والثلاثون
",20:00,"

إستوريل	
","

سبورتينج لشبونة
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الثالث والثلاثون
",22:30,"

فيتوريا جيماريش
","

سبورتينج براجا
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الثالث والثلاثون
",17:30,"

جل فيسنتي
","

فيرنسي
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الثالث والثلاثون
",20:00,"

بنفيكا
","

أروكا
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الثالث والثلاثون
",20:00,"

كازا بيا
","

موريرنسي
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الثالث والثلاثون
",22:30,"

بورتو
","

بوافيستا
","
لم تبدأ
",-----
