Date,Week,Time,Team A,Team B,Status,Result
"

                مباريات يوم
                الجمعة
                03 مايو 2024

","الأسبوع الثاني والثلاثون
",21:30,"

هوفنهايم
","

لايبزيج
","
انتهت
",1---1
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الخامس والثلاثون
",19:00,"

مونزا
","

لاتسيو
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الخامس والثلاثون
",21:45,"

ساسولو
","

إنتر ميلان	
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الثاني والثلاثون
",16:30,"

يونيون برلين
","

بوخوم
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الثاني والثلاثون
",18:30,"

آ. فرانكفورت 
","

باير ليفركوزن
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الثاني والثلاثون
",20:30,"

هايدنهايم
","

ماينز
","
لم تبدأ
",-----
"

                مباريات يوم
                الإثنين
                06 مايو 2024

","الأسبوع الخامس والثلاثون
",20:00,"

انطاليا سبور
","

بينديكسبور
","
لم تبدأ
",-----
"

                مباريات يوم
                الإثنين
                06 مايو 2024

","الأسبوع الخامس والثلاثون
",20:00,"

قونيا سبور
","

فنربخشة
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

",الجولة التاسعة,16:30,"

بترول أسيوط
","

النصر للتعدين
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

",الجولة التاسعة,16:30,"

مكادي
","

النجوم
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

",الجولة التاسعة,16:30,"

جمهورية شبين
","

أسوان
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

",الجولة التاسعة,16:30,"

أبو قير للاسمدة
","

المصرية للاتصالات
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

",الجولة التاسعة,16:30,"

مصر المقاصة
","

دكرنس
","
لم تبدأ
",-----
"

                مباريات يوم
                الجمعة
                10 مايو 2024

","الأسبوع الثالث والثلاثون
",22:00,"

نيس
","

لوهافر
","
لم تبدأ
",-----
"

                مباريات يوم
                الجمعة
                10 مايو 2024

","الأسبوع الثالث والثلاثون
",22:00,"

بريست
","

ريمس
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الثالث والثلاثون
",16:30,"

مونشنجلادباخ
","

آ. فرانكفورت 
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الثالث والثلاثون
",16:30,"

فرايبورج
","

هايدنهايم
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الثالث والثلاثون
",16:30,"

لايبزيج
","

فيردر بريمن
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الثالث والثلاثون
",16:30,"

كولن
","

يونيون برلين
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الثالث والثلاثون
",19:30,"

ماينز
","

بروسيا دورتموند 
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الثالث والثلاثون
",22:00,"

مونبيليه
","

موناكو
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الثالث والثلاثون
",22:00,"

نانت
","

ليل
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الثالث والثلاثون
",22:00,"

كليرمونت 
","

ليون
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الثالث والثلاثون
",22:00,"

باريس سان جيرمان
","

تولوز
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الثالث والثلاثون
",22:00,"

مارسيليا
","

لوريان
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الثالث والثلاثون
",22:00,"

ستراسبورج
","

ميتز
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الثالث والثلاثون
",22:00,"

رين
","

لانس
","
لم تبدأ
",-----
