Date,Week,Time,Team A,Team B,Status,Result
"

                مباريات يوم
                الجمعة
                03 مايو 2024

","الأسبوع الخامس والثلاثون
",21:45,"

تورينو
","

بولونيا
","
انتهت
",0---0
"

                مباريات يوم
                السبت
                04 مايو 2024

",الجولة الأولى,17:30,"

الإتحاد الرياضي المنستيري
","

ريج الرواندي
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

",الجولة الأولى,20:30,"

إيه إس دوانّ 
","

ريفرز هوبرز
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الخامس والثلاثون
",13:30,"

كالياري
","

ليتشي
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الخامس والثلاثون
",16:00,"

إمبولي
","

فروزينوني
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الخامس والثلاثون
",16:00,"

هيلاس فيرونا
","

فيورنتينا
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الخامس والثلاثون
",19:00,"

ميلان
","

جنوى
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع الخامس والثلاثون
",21:45,"

روما
","

يوفنتوس
","
لم تبدأ
",-----
"

                مباريات يوم
                الإثنين
                06 مايو 2024

","الأسبوع الثاني والثلاثون
",22:00,"

ليل
","

ليون
","
لم تبدأ
",-----
"

                مباريات يوم
                الثلاثاء
                07 مايو 2024

","الأسبوع الثاني والعشرون
",19:45,"

الوحـــدة 
","

النصر الإماراتي
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

",عودة نصف النهائي,22:00,"

أوليمبياكوس
","

أستون فيلا  
","
لم تبدأ
",-----
"

                مباريات يوم
                الجمعة
                10 مايو 2024

","الأسبوع الثالث والثلاثون
",21:30,"

أوجسبورج
","

شتوتجارت
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

",الجولة الخامسة ,17:30,"

ريفرز هوبرز
","

ريج الرواندي
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

",الجولة الخامسة ,20:30,"

الإتحاد الرياضي المنستيري
","

إيه إس دوانّ 
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الثالث والثلاثون
",16:30,"

دارمشتات
","

هوفنهايم
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الثالث والثلاثون
",18:30,"

بايرن ميونيخ
","

فولفسبورج
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الثالث والثلاثون
",20:30,"

بوخوم
","

باير ليفركوزن
","
لم تبدأ
",-----
