Date,Week,Time,Team A,Team B,Status,Result
"

                مباريات يوم
                الجمعة
                03 مايو 2024

","الأسبوع السادس والثلاثون
",22:00,"

لوتون تاون
","

ايفرتون
","
انتهت
",1---1
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع السادس والثلاثون
",14:30,"

أرسنال
","

بورنموث
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع السادس والثلاثون
",17:00,"

بيرنلي 
","

نيوكاسل
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع السادس والثلاثون
",17:00,"

شيفيلد يونايتد
","

نوتينجهام فورست
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع السادس والثلاثون
",17:00,"

برينتفورد
","

فولهام
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع السادس والثلاثون
",19:30,"

مانشستر سيتي
","

وولفرهامبتون
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثاني والثلاثون
",17:30,"

بوافيستا
","

جل فيسنتي
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثاني والثلاثون
",17:30,"

ريو آفي
","

فيتوريا جيماريش
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثاني والثلاثون
",20:00,"

سبورتينج لشبونة
","

بورتيمونينسي
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثاني والثلاثون
",22:30,"

شافيش
","

بورتو
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع السادس والثلاثون
",16:00,"

برايتون
","

أستون فيلا  
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع السادس والثلاثون
",16:00,"

تشيلسي     
","

وست هام يونايتد
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع السادس والثلاثون
",18:30,"

ليفربول
","

توتنهام هوتسبر
","
لم تبدأ
",-----
"

                مباريات يوم
                الإثنين
                06 مايو 2024

","الأسبوع السادس والثلاثون
",22:00,"

كريستال بالاس 
","

مانشستر يونايتد
","
لم تبدأ
",-----
"

                مباريات يوم
                الثلاثاء
                07 مايو 2024

",عودة نصف النهائي,22:00,"

باريس سان جيرمان
","

بروسيا دورتموند 
","
لم تبدأ
",-----
"

                مباريات يوم
                الأربعاء
                08 مايو 2024

",عودة نصف النهائي,19:45,"

كلوب بروج
","

فيورنتينا
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

",عودة نصف النهائي,22:00,"

أتالانتا
","

مارسيليا
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

",عودة نصف النهائي,22:00,"

باير ليفركوزن
","

روما
","
لم تبدأ
",-----
"

                مباريات يوم
                الجمعة
                10 مايو 2024

","الأسبوع الخامس والثلاثون
",22:00,"

ألافيس
","

جيرونا
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع السابع والثلاثون
",14:30,"

فولهام
","

مانشستر سيتي
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع السابع والثلاثون
",17:00,"

نيوكاسل
","

برايتون
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع السابع والثلاثون
",17:00,"

وولفرهامبتون
","

كريستال بالاس 
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع السابع والثلاثون
",17:00,"

توتنهام هوتسبر
","

بيرنلي 
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع السابع والثلاثون
",17:00,"

ايفرتون
","

شيفيلد يونايتد
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع السابع والثلاثون
",17:00,"

وست هام يونايتد
","

لوتون تاون
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع السابع والثلاثون
",17:00,"

بورنموث
","

برينتفورد
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع السابع والثلاثون
",19:30,"

نوتينجهام فورست
","

تشيلسي     
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع السابع والثلاثون
",18:30,"

مانشستر يونايتد
","

أرسنال
","
لم تبدأ
",-----
