Date,Week,Time,Team A,Team B,Status,Result
"

                مباريات يوم
                الجمعة
                03 مايو 2024

","الأسبوع الثلاثون
",18:00,"

التعاون
","

الهلال
","
انتهت
",0---3
"

                مباريات يوم
                الجمعة
                03 مايو 2024

","الأسبوع الثلاثون
",21:00,"

الاتفـــــاق
","

الفيحاء
","
انتهت
",1---2
"

                مباريات يوم
                الجمعة
                03 مايو 2024

","الأسبوع الثلاثون
",21:00,"

أبها
","

الاتحاد
","
انتهت
",3---1
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثلاثون
",18:00,"

الطــائي
","

الخليج
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثلاثون
",18:00,"

الشباب
","

الرائد
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثلاثون
",21:00,"

النصر
","

الوحدة
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

",الجولة الثانية,17:30,"

ريج الرواندي
","

ريفرز هوبرز
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

",الجولة الثانية,20:30,"

إيه إس دوانّ 
","

الإتحاد الرياضي المنستيري
","
لم تبدأ
",-----
"

                مباريات يوم
                الإثنين
                06 مايو 2024

","الأسبوع الخامس والثلاثون
",19:00,"

ساليرنيتانا
","

أتالانتا
","
لم تبدأ
",-----
"

                مباريات يوم
                الإثنين
                06 مايو 2024

","الأسبوع الخامس والثلاثون
",21:45,"

أودينيزي
","

نابولي
","
لم تبدأ
",-----
"

                مباريات يوم
                الثلاثاء
                07 مايو 2024

",الجولة التاسعة,16:30,"

السكة الحديد
","

بتروجيت
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

",الجولة الرابعة,19:00,"

ريج الرواندي
","

الإتحاد الرياضي المنستيري
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

",الجولة الرابعة,22:00,"

ريفرز هوبرز
","

إيه إس دوانّ 
","
لم تبدأ
",-----
"

                مباريات يوم
                الجمعة
                10 مايو 2024

","الأسبوع السادس والثلاثون
",21:45,"

فروزينوني
","

إنتر ميلان	
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الحادي والثلاثون
",18:00,"

الهلال
","

الحزم
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الحادي والثلاثون
",18:00,"

الرائد
","

الطــائي
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الحادي والثلاثون
",21:00,"

الشباب
","

أهلي جدة
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

",الجولة السادسة ,17:30,"

ريفرز هوبرز
","

الإتحاد الرياضي المنستيري
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

",الجولة السادسة ,20:30,"

إيه إس دوانّ 
","

ريج الرواندي
","
لم تبدأ
",-----
