Date,Week,Time,Team A,Team B,Status,Result
"

                مباريات يوم
                الجمعة
                03 مايو 2024

",الأسبوع الرابع والثلاثون,22:00,"

خيتافي
","

أتلتيك بلباو	
","
انتهت
",0---2
"

                مباريات يوم
                السبت
                04 مايو 2024

",الأسبوع الرابع والثلاثون,15:00,"

ريال سوسيداد
","

لاس بالماس
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

",الأسبوع الرابع والثلاثون,17:15,"

ريال مدريد
","

قادش
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

",الأسبوع الرابع والثلاثون,19:30,"

جيرونا
","

برشلونة 
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

",الأسبوع الرابع والثلاثون,22:00,"

مايوركا 
","

اتلتيكو مدريد
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

",الأسبوع الرابع والثلاثون,15:00,"

أوساسونا
","

ريال بيتيس
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

",الأسبوع الرابع والثلاثون,17:15,"

سيلتا فيجو
","

فياريال
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

",الأسبوع الرابع والثلاثون,19:30,"

فالنسيا 
","

ألافيس
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

",الأسبوع الرابع والثلاثون,22:00,"

اشبيلية 
","

غرناطه
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

",الأسبوع الرابع والثلاثون,22:00,"

رايو فاييكانو
","

الميريا
","
لم تبدأ
",-----
"

                مباريات يوم
                الإثنين
                06 مايو 2024

","الأسبوع الثامن والعشرون
",21:00,"

أهلي جدة
","

الهلال
","
لم تبدأ
",-----
"

                مباريات يوم
                الثلاثاء
                07 مايو 2024

",الجولة الثالثة ,19:00,"

الإتحاد الرياضي المنستيري
","

ريفرز هوبرز
","
لم تبدأ
",-----
"

                مباريات يوم
                الثلاثاء
                07 مايو 2024

",الجولة الثالثة ,22:00,"

ريج الرواندي
","

إيه إس دوانّ 
","
لم تبدأ
",-----
"

                مباريات يوم
                الأربعاء
                08 مايو 2024

",الجولة التاسعة,16:30,"

بروكسي
","

غزل المحلة
","
لم تبدأ
",-----
"

                مباريات يوم
                الأربعاء
                08 مايو 2024

",الجولة التاسعة,16:30,"

وادي دجلة
","

راية الرياضي
","
لم تبدأ
",-----
"

                مباريات يوم
                الأربعاء
                08 مايو 2024

",الجولة التاسعة,16:30,"

حرس الحدود
","

القناة
","
لم تبدأ
",-----
"

                مباريات يوم
                الأربعاء
                08 مايو 2024

",الجولة التاسعة,16:30,"

لافيينا أف سي
","

طنطا‏
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

","الأسبوع الحادي والثلاثون
",18:00,"

الفيحاء
","

الفتح
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

","الأسبوع الحادي والثلاثون
",18:00,"

الرياض
","

التعاون
","
لم تبدأ
",-----
"

                مباريات يوم
                الخميس
                09 مايو 2024

","الأسبوع الحادي والثلاثون
",21:00,"

الأخدود
","

النصر
","
لم تبدأ
",-----
"

                مباريات يوم
                الجمعة
                10 مايو 2024

","الأسبوع الحادي والثلاثون
",18:00,"

أبها
","

ضمك
","
لم تبدأ
",-----
"

                مباريات يوم
                الجمعة
                10 مايو 2024

","الأسبوع الحادي والثلاثون
",21:00,"

الاتحاد
","

الاتفـــــاق
","
لم تبدأ
",-----
"

                مباريات يوم
                الجمعة
                10 مايو 2024

","الأسبوع الحادي والثلاثون
",21:00,"

الخليج
","

الوحدة
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الخامس والثلاثون
",15:00,"

مايوركا 
","

لاس بالماس
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الخامس والثلاثون
",17:15,"

فياريال
","

اشبيلية 
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الخامس والثلاثون
",19:30,"

غرناطه
","

ريال مدريد
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                11 مايو 2024

","الأسبوع الخامس والثلاثون
",22:00,"

أتلتيك بلباو	
","

أوساسونا
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الخامس والثلاثون
",15:00,"

قادش
","

خيتافي
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الخامس والثلاثون
",17:15,"

اتلتيكو مدريد
","

سيلتا فيجو
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الخامس والثلاثون
",19:30,"

فالنسيا 
","

رايو فاييكانو
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع الخامس والثلاثون
",22:00,"

ريال بيتيس
","

الميريا
","
لم تبدأ
",-----
