Date,Week,Time,Team A,Team B,Status,Result
"

                مباريات يوم
                الجمعة
                03 مايو 2024

","الأسبوع الخامس والثلاثون
",20:00,"

أنقرة جوتشو
","

ألانيا سبور
","
انتهت
",1---1
"

                مباريات يوم
                الجمعة
                03 مايو 2024

","الأسبوع الخامس والثلاثون
",20:00,"

بشكتاش
","

ريزه سبور
","
انتهت
",3---2
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثاني والثلاثون
",16:00,"

لوهافر
","

ستراسبورج
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثاني والثلاثون
",18:00,"

موناكو
","

كليرمونت 
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثاني والثلاثون
",20:00,"

ميتز
","

رين
","
لم تبدأ
",-----
"

                مباريات يوم
                السبت
                04 مايو 2024

","الأسبوع الثاني والثلاثون
",22:00,"

بريست
","

نانت
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع السادس
",17:00,"

الملعب التونسي
","

الترجى الرياضي
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع التاسع
",17:00,"

قوافل قفصة
","

مستقبل المرسى
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                05 مايو 2024

","الأسبوع السادس
",19:30,"

الافريقي التونسي
","

الصفاقســــي
","
لم تبدأ
",-----
"

                مباريات يوم
                الأحد
                12 مايو 2024

","الأسبوع التاسع عشر
",17:05,"

نادي الامارات
","

العين
","
لم تبدأ
",-----
